DataName,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,2894.260812366387,3058.49369185676,7273.967153492073,3018.156095260552,6167.129201356768,7628.734901462174,5811.749842072016,7821.666014861165,3017.1935662784254,723.5789327210742
DataValue,2855.7520687976635,3059.273422562141,7283.486969386594,2974.6688356960262,6151.953245155337,8614.059375480696,5666.769325531261,8284.28166557663,2997.905874572909,723.6796325934173
DataValue,2861.3233620549504,3059.273422562141,7249.6601721794295,3924.671625257161,6172.839506172839,8586.981522655831,5797.101449275362,8299.2082992083,2832.448193272936,725.2946509519492
DataValue,3009.061378013336,3065.9172202350533,7241.867043847243,3031.3795145056247,6144.393241167435,8710.53040908384,5833.8617628408365,8231.789872732197,2773.8119518662043,723.5789327210742
DataValue,2889.0347997373606,3077.7122339061298,7290.954659375712,3000.1171920778156,6190.034045187249,7907.7429983525535,5723.172628304821,8128.342245989305,2800.9473792606323,726.5614084113456
DataValue,3001.364256480218,3071.4102892244687,7300.93543235227,3019.580089643784,6176.652254478073,8509.991641972496,5787.983642654924,8137.044967880086,2725.997193826418,726.0541748115053
DataValue,2938.720988478878,3076.5286501730543,7302.184950653203,3017.4446016030174,6155.740227762389,8573.834494373423,5647.6365868631065,8147.076164442301,3075.489282385834,722.7743415108764
DataValue,3012.151292144446,3081.664098613251,7285.145133750712,3138.4087286992767,6142.506142506142,8692.952499223846,5696.594427244582,8139.659419513763,3066.2020905923346,723.126129884578
DataValue,2956.492524777423,3082.4556896994604,7904.096956922672,3098.5233599612684,6176.652254478073,8633.315347259695,5762.605699968682,8113.157192420604,3072.983354673496,731.7244775909379
DataValue,2875.8169934640523,3080.082135523614,7139.2715711975015,3973.7221599102704,6172.839506172839,8727.499415569235,5813.586097946288,8067.084173654602,3067.627236811527,735.2941176470589
DataValue,2969.9628754640567,3082.4556896994604,7243.916242218449,3078.4030784030783,6172.839506172839,8013.89074395619,5630.3549571603435,8114.889754951685,3071.9106353269726,660.6890042472866
DataValue,2976.492474209369,3085.626124967858,7291.36998006266,3088.0579010856454,6099.420555047271,8087.888387140258,5820.942739639355,8132.256166069231,3061.934585942937,662.1733475227622
