TestParameter ,Measurement.Type ,Selector-IV-sweep
TestParameter ,MainFrame
TestParameter ,Channel.Type ,SMU ,SMU
DataValue ,  2.560000e+00 ,  1.000800e-03 ,  -1.001000e-03
DataValue ,  2.520000e+00 ,  1.000050e-03 ,  -9.996500e-04
DataValue ,  2.480000e+00 ,  1.000200e-03 ,  -1.168500e-05
DataValue ,  2.440000e+00 ,  1.106500e-05 ,  -1.126500e-05
DataValue ,  2.400000e+00 ,  1.122000e-05 ,  -1.104500e-05
DataValue ,  2.360000e+00 ,  1.030500e-05 ,  -1.028000e-05
DataValue ,  2.320000e+00 ,  9.697500e-06 ,  -9.699000e-06
DataValue ,  2.280000e+00 ,  9.129000e-06 ,  -9.132000e-06
DataValue ,  2.240000e+00 ,  8.619500e-06 ,  -8.601000e-06
DataValue ,  2.200000e+00 ,  8.123000e-06 ,  -8.151500e-06
DataValue ,  2.160000e+00 ,  7.760500e-06 ,  -7.817500e-06
DataValue ,  2.120000e+00 ,  7.408000e-06 ,  -7.415500e-06
DataValue ,  2.080000e+00 ,  7.004500e-06 ,  -6.995500e-06
DataValue ,  2.040000e+00 ,  6.640500e-06 ,  -6.702500e-06
DataValue ,  2.000000e+00 ,  6.371500e-06 ,  -6.373500e-06
DataValue ,  1.960000e+00 ,  6.082500e-06 ,  -6.091000e-06
DataValue ,  1.920000e+00 ,  5.801000e-06 ,  -5.796000e-06
DataValue ,  1.880000e+00 ,  5.529000e-06 ,  -5.518500e-06
DataValue ,  1.840000e+00 ,  5.251500e-06 ,  -5.267500e-06
DataValue ,  1.800000e+00 ,  5.030500e-06 ,  -5.034000e-06
DataValue ,  1.760000e+00 ,  4.787500e-06 ,  -4.785500e-06
DataValue ,  1.720000e+00 ,  4.568000e-06 ,  -4.571000e-06
DataValue ,  1.680000e+00 ,  4.361500e-06 ,  -4.349500e-06
DataValue ,  1.640000e+00 ,  4.154500e-06 ,  -4.157500e-06
DataValue ,  1.600000e+00 ,  3.958500e-06 ,  -3.954500e-06
DataValue ,  1.560000e+00 ,  3.776000e-06 ,  -3.777500e-06
DataValue ,  1.520000e+00 ,  3.600500e-06 ,  -3.600000e-06
DataValue ,  1.480000e+00 ,  3.436000e-06 ,  -3.426500e-06
DataValue ,  1.440000e+00 ,  3.271000e-06 ,  -3.263000e-06
DataValue ,  1.400000e+00 ,  3.114500e-06 ,  -3.121500e-06
DataValue ,  1.360000e+00 ,  2.963000e-06 ,  -2.961500e-06
DataValue ,  1.320000e+00 ,  2.819500e-06 ,  -2.818500e-06
DataValue ,  1.280000e+00 ,  2.677500e-06 ,  -2.684500e-06
DataValue ,  1.240000e+00 ,  2.547000e-06 ,  -2.543500e-06
DataValue ,  1.200000e+00 ,  2.418500e-06 ,  -2.415500e-06
DataValue ,  1.160000e+00 ,  2.292000e-06 ,  -2.293500e-06
DataValue ,  1.120000e+00 ,  2.178500e-06 ,  -2.184000e-06
DataValue ,  1.080000e+00 ,  2.062500e-06 ,  -2.063000e-06
DataValue ,  1.040000e+00 ,  1.955000e-06 ,  -1.954500e-06
DataValue ,  1.000000e+00 ,  1.849000e-06 ,  -1.853000e-06
DataValue ,  9.600000e-01 ,  1.746000e-06 ,  -1.746000e-06
DataValue ,  9.200000e-01 ,  1.644000e-06 ,  -1.646000e-06
DataValue ,  8.800000e-01 ,  1.547500e-06 ,  -1.548500e-06
DataValue ,  8.400000e-01 ,  1.455500e-06 ,  -1.457500e-06
DataValue ,  8.000000e-01 ,  1.366000e-06 ,  -1.366500e-06
DataValue ,  7.600000e-01 ,  1.278500e-06 ,  -1.280000e-06
DataValue ,  7.200000e-01 ,  1.197500e-06 ,  -1.196500e-06
DataValue ,  6.800000e-01 ,  1.113000e-06 ,  -1.113000e-06
DataValue ,  6.400000e-01 ,  1.034500e-06 ,  -1.032500e-06
DataValue ,  6.000000e-01 ,  9.581500e-07 ,  -9.578500e-07
DataValue ,  5.600000e-01 ,  8.835000e-07 ,  -8.829000e-07
DataValue ,  5.200000e-01 ,  8.102000e-07 ,  -8.104000e-07
DataValue ,  4.800000e-01 ,  7.402500e-07 ,  -7.383500e-07
DataValue ,  4.400000e-01 ,  6.723500e-07 ,  -6.713000e-07
DataValue ,  4.000000e-01 ,  6.047500e-07 ,  -6.041000e-07
DataValue ,  3.600000e-01 ,  5.384000e-07 ,  -5.386000e-07
DataValue ,  3.200000e-01 ,  4.758500e-07 ,  -4.758000e-07
DataValue ,  2.800000e-01 ,  4.140000e-07 ,  -4.136500e-07
DataValue ,  2.400000e-01 ,  3.526000e-07 ,  -3.530000e-07
DataValue ,  2.000000e-01 ,  2.933500e-07 ,  -2.934000e-07
DataValue ,  1.600000e-01 ,  2.336500e-07 ,  -2.332500e-07
DataValue ,  1.200000e-01 ,  1.749500e-07 ,  -1.748500e-07
DataValue ,  8.000000e-02 ,  1.164500e-07 ,  -1.164000e-07
DataValue ,  4.000000e-02 ,  5.819000e-08 ,  -5.819000e-08
DataValue ,  0.000000e+00 ,  2.085000e-11 ,  -3.070000e-11
