DataName,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,2688.6648334860984,9823.484267075979,1759.82401759824,3079.8460076996153,13104.013104013104,10188.7229362047,11359.602413915512,2879.85600719964,13659.647125782583,1130.2627860977677
DataValue,2199.8900054997252,9210.80175842579,10017.530678687704,14250.089063056645,13236.997407754674,2679.73202679732,2399.8800059997,13088.291432622565,13667.425968109337,1046.207497820401
DataValue,1399.930003499825,10613.598673300166,10606.562810739144,1559.8440155984401,13353.363378400934,12453.300124533002,2039.79602039796,11834.319526627218,1439.92800359982,3359.66403359664
DataValue,1479.926003699815,10420.058612829696,11469.53405017921,14585.232452142207,3039.69603039696,1239.87601239876,8356.182269225748,12924.071082390954,13438.924886009121,1123.0434477433846
DataValue,12204.424103737605,1799.8200179982,1519.9240037998102,2279.7720227977197,13342.228152101401,9755.106188395488,10022.550739163116,13249.42033786022,10766.254520985785,1082.2510822510824
DataValue,10746.910263299302,2719.7280271972804,2959.70402959704,2599.6100584912265,12961.762799740765,11733.072598386701,11025.358324145536,10666.666666666668,13552.758954501454,2799.86000699965
DataValue,8941.87779433681,9625.66844919786,11711.316059142146,9907.802394385579,13353.363378400934,11470.708725931998,11410.640422193695,3039.8480075996204,13753.581661891116,1189.2374015162777
DataValue,2199.8900054997252,2519.8740062996853,11714.745936447503,11025.358324145534,13109.381401065139,11214.298230243561,11149.825783972126,13034.623217922606,2319.99337144751,999.950002499875
DataValue,2946.099765651155,10603.751076943468,11701.89424413077,1399.8600139986,12953.367875647667,10879.419764279237,1119.94400279986,8306.010928961749,1559.8440155984401,799.9600019999001
DataValue,3949.224259520451,10645.375914836994,8912.503213642985,12087.635356333418,13337.779259753252,12312.112040219565,11188.811188811189,1679.83201679832,11238.059561715676,1679.91600419979
