DataName,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho
Units,,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W)
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
DataValue,1.0,30.0,-0.45999999999999996,555.801174761574,-0.00079165,0.00036415899999999997,-0.26,600.7939062332368,1.0,30.0,-0.33999999999999997,376.53703594752017,-0.00084985,0.000288949,-2.06,2080.0,1.0,30.0,-0.66,64872.53560387208,-9.8655e-06,6.511230000000001e-06,-1.06,1080.0,1.0,30.0,-1.34,27537.290080317096,-4.7935e-05,6.42329e-05,-0.1,71706.00537795041,1.0,30.0,-0.98,5821.710127349909,-0.0001649,0.000161602,-1.7,1720.0
DataValue,1.0,31.0,-0.45999999999999996,556.3634064614023,-0.00079085,0.000363791,-1.1400000000000001,1160.0,1.0,31.0,-0.33999999999999997,376.82524729156853,-0.0008492,0.000288728,-3.5,3520.0,1.0,31.0,-0.62,62777.92309704421,-9.5575e-06,5.92565e-06,-3.02,3040.0,1.0,31.0,-1.34,27071.369975389665,-4.876e-05,6.53384e-05,-0.8200000000000001,46861.92468619247,1.0,31.0,-0.98,5839.41605839416,-0.0001644,0.000161112,-3.02,3040.0
DataValue,1.0,32.0,-0.45999999999999996,553.2155654743195,-0.00079535,0.000365861,-2.98,2999.850007499625,1.0,32.0,-0.33999999999999997,375.9619338541973,-0.00085115,0.00028939099999999995,-2.42,2440.0,1.0,32.0,-0.66,62126.874726981514,-1.03015e-05,6.79899e-06,-0.5800000000000001,77002.05338809035,1.0,32.0,-1.3,28193.832599118945,-4.54e-05,5.902e-05,-0.8200000000000001,46692.607003891055,1.0,32.0,-0.98,5893.186003683241,-0.0001629,0.000159642,-1.18,1199.94000299985
DataValue,1.0,33.0,-0.45999999999999996,553.842280823211,-0.00079445,0.00036544699999999997,-0.26,598.4184654840778,1.0,33.0,-0.33999999999999997,373.94098743792,-0.00085575,0.00029095499999999997,-0.74,760.0,1.0,33.0,-0.7,38647.342995169085,-1.7595e-05,1.23165e-05,-0.74,760.0,1.0,33.0,-1.26,30151.97568389058,-4.1125e-05,5.1817499999999996e-05,-0.26,67739.20406435225,1.0,33.0,-0.94,6170.355466130115,-0.0001491,0.00014015399999999997,-1.78,1799.9100044997751
DataValue,1.0,34.0,-0.45999999999999996,552.4861878453039,-0.0007964,0.00036634399999999995,-0.78,799.9600019999001,1.0,34.0,-0.33999999999999997,375.05860290670415,-0.0008532,0.000290088,-0.30000000000000004,375.05860290670415,1.0,34.0,-0.66,67947.76515553668,-9.419e-06,6.216540000000001e-06,-2.74,2759.9999999999995,1.0,34.0,-1.3,28722.091327274768,-4.4565e-05,5.79345e-05,-1.18,32432.432432432433,1.0,34.0,-0.98,5812.897366030881,-0.00016515,0.000161847,-1.58,1600.0
DataValue,1.0,35.0,-0.45999999999999996,553.9817437834434,-0.00079425,0.000365355,-0.26,598.3545250560958,1.0,35.0,-0.33999999999999997,373.89729508675583,-0.00085585,0.00029098899999999996,-3.54,3560.0,1.0,35.0,-0.66,70921.98581560283,-9.024e-06,5.955840000000001e-06,-1.34,1360.0,1.0,35.0,-1.3,29057.88876276958,-4.405e-05,5.7265e-05,-0.45999999999999996,60724.903535960526,1.0,35.0,-0.94,6178.643384822029,-0.0001489,0.00013996599999999997,-1.02,1040.0
DataValue,1.0,36.0,-0.45999999999999996,556.4337654125829,-0.00079075,0.00036374499999999995,-2.7,2720.0,1.0,36.0,-0.33999999999999997,374.5099186611271,-0.00085445,0.00029051299999999995,-0.86,880.0,1.0,36.0,-0.66,66376.27048330221,-9.642e-06,6.36372e-06,-0.33999999999999997,147874.30683918667,1.0,36.0,-1.3,28403.417286142238,-4.5065e-05,5.858450000000001e-05,-1.06,37209.3023255814,1.0,36.0,-0.98,5837.640620249315,-0.00016445,0.000161161,-0.5800000000000001,9206.690194874942
DataValue,1.0,37.0,-0.45999999999999996,554.4704177430534,-0.00079355,0.00036503299999999996,-1.74,1760.0,1.0,37.0,-0.33999999999999997,373.37378215973393,-0.00085705,0.000291397,-2.22,2240.0,1.0,37.0,-0.66,62646.82850430697,-1.0216e-05,6.74256e-06,-1.94,1960.0,1.0,37.0,-1.26,30496.802754549924,-4.066e-05,5.12316e-05,-0.1,71834.78000598623,1.0,37.0,-0.94,6277.720914363698,-0.00014655,0.00013775700000000002,-0.78,7474.539848640568
DataValue,1.0,38.0,-0.45999999999999996,553.3547129472427,-0.00079515,0.00036576899999999995,-0.1,591.5701257086517,1.0,38.0,-0.30000000000000004,384.8797250859107,-0.0007275,0.00021825000000000002,-1.7,1720.0,1.0,38.0,-0.66,60859.64244960061,-1.0516e-05,6.940560000000001e-06,-1.8599999999999999,1879.9999999999998,1.0,38.0,-1.3,28584.18937025458,-4.478e-05,5.8214e-05,-0.7,51373.52836246878,1.0,38.0,-0.94,6228.842247799594,-0.0001477,0.00013883800000000001,-0.30000000000000004,11241.875988055508
DataValue,1.0,39.0,-0.45999999999999996,553.0069754288946,-0.00079565,0.00036599899999999994,-0.94,960.0,1.0,39.0,-0.30000000000000004,381.0042182609879,-0.0007349,0.00022047000000000004,-0.62,640.0,1.0,39.0,-0.74,34782.608695652176,-2.07e-05,1.5317999999999998e-05,-2.82,2840.1420071003545,1.0,39.0,-1.26,30225.472273004263,-4.1025e-05,5.1691500000000005e-05,-0.1,71556.35062611806,1.0,39.0,-0.98,5800.60422960725,-0.0001655,0.00016219000000000002,-2.14,2160.0
